Date,Ticker,Cloture
03/01/2022,CIEI,2465.5
03/01/2022,ORAC,3828.8
03/01/2022,SCCS,5140.5
03/01/2022,SDCI,5970.8
03/01/2022,SLBA,2881.2
03/01/2022,TTLS,2510.7
04/01/2022,CIEI,2462.7
04/01/2022,ORAC,3857.1
04/01/2022,SCCS,5233.2
04/01/2022,SDCI,6001.7
04/01/2022,SLBA,2904.5
04/01/2022,TTLS,2525.4
05/01/2022,CIEI,2487.1
05/01/2022,ORAC,3923.6
05/01/2022,SCCS,5128.6
05/01/2022,SDCI,5971.9
05/01/2022,SLBA,2885.4
05/01/2022,TTLS,2505.0
06/01/2022,CIEI,2438.5
06/01/2022,ORAC,3896.7
06/01/2022,SCCS,5043.6
06/01/2022,SDCI,6012.9
06/01/2022,SLBA,2841.2
06/01/2022,TTLS,2524.1
07/01/2022,CIEI,2399.0
07/01/2022,ORAC,3819.0
07/01/2022,SCCS,5124.4
07/01/2022,SDCI,6037.0
07/01/2022,SLBA,2797.6
07/01/2022,TTLS,2521.3
10/01/2022,CIEI,2278.7
10/01/2022,ORAC,3820.1
10/01/2022,SCCS,5089.6
10/01/2022,SDCI,6036.5
10/01/2022,SLBA,2769.7
10/01/2022,TTLS,2467.0
11/01/2022,CIEI,2312.5
11/01/2022,ORAC,3854.4
11/01/2022,SCCS,5174.4
11/01/2022,SDCI,5917.5
11/01/2022,SLBA,2770.5
11/01/2022,TTLS,2418.1
12/01/2022,CIEI,2327.3
12/01/2022,ORAC,3927.3
12/01/2022,SCCS,5212.3
12/01/2022,SDCI,5928.6
12/01/2022,SLBA,2747.3
12/01/2022,TTLS,2320.7
13/01/2022,CIEI,2284.8
13/01/2022,ORAC,3856.1
13/01/2022,SCCS,5351.1
13/01/2022,SDCI,5971.5
13/01/2022,SLBA,2748.2
13/01/2022,TTLS,2342.5
14/01/2022,CIEI,2312.9
14/01/2022,ORAC,3781.5
14/01/2022,SCCS,5468.4
14/01/2022,SDCI,5971.4
14/01/2022,SLBA,2848.1
14/01/2022,TTLS,2353.4
17/01/2022,CIEI,2332.9
17/01/2022,ORAC,3829.3
17/01/2022,SCCS,5509.1
17/01/2022,SDCI,5860.9
17/01/2022,SLBA,2914.0
17/01/2022,TTLS,2403.3
18/01/2022,CIEI,2435.7
18/01/2022,ORAC,3863.5
18/01/2022,SCCS,5469.6
18/01/2022,SDCI,5896.3
18/01/2022,SLBA,2874.9
18/01/2022,TTLS,2418.2
19/01/2022,CIEI,2443.6
19/01/2022,ORAC,3963.4
19/01/2022,SCCS,5510.8
19/01/2022,SDCI,5950.5
19/01/2022,SLBA,2888.0
19/01/2022,TTLS,2452.2
20/01/2022,CIEI,2476.6
20/01/2022,ORAC,4031.0
20/01/2022,SCCS,5606.2
20/01/2022,SDCI,5966.7
20/01/2022,SLBA,2891.5
20/01/2022,TTLS,2396.7
21/01/2022,CIEI,2498.8
21/01/2022,ORAC,4029.9
21/01/2022,SCCS,5617.8
21/01/2022,SDCI,6000.6
21/01/2022,SLBA,2886.5
21/01/2022,TTLS,2319.7
24/01/2022,CIEI,2527.1
24/01/2022,ORAC,4017.6
24/01/2022,SCCS,5424.4
24/01/2022,SDCI,5978.5
24/01/2022,SLBA,2925.9
24/01/2022,TTLS,2299.4
25/01/2022,CIEI,2525.2
25/01/2022,ORAC,4188.2
25/01/2022,SCCS,5401.9
25/01/2022,SDCI,5934.7
25/01/2022,SLBA,2913.5
25/01/2022,TTLS,2289.4
26/01/2022,CIEI,2508.4
26/01/2022,ORAC,4174.4
26/01/2022,SCCS,5380.2
26/01/2022,SDCI,5975.3
26/01/2022,SLBA,2901.4
26/01/2022,TTLS,2307.9
27/01/2022,CIEI,2534.5
27/01/2022,ORAC,4127.6
27/01/2022,SCCS,5378.5
27/01/2022,SDCI,5953.2
27/01/2022,SLBA,2887.5
27/01/2022,TTLS,2305.9
28/01/2022,CIEI,2581.1
28/01/2022,ORAC,4057.9
28/01/2022,SCCS,5358.0
28/01/2022,SDCI,5969.5
28/01/2022,SLBA,2883.9
28/01/2022,TTLS,2302.6
31/01/2022,CIEI,2534.4
31/01/2022,ORAC,4069.5
31/01/2022,SCCS,5433.8
31/01/2022,SDCI,6206.0
31/01/2022,SLBA,2932.4
31/01/2022,TTLS,2307.9
01/02/2022,CIEI,2489.7
01/02/2022,ORAC,4084.4
01/02/2022,SCCS,5353.0
01/02/2022,SDCI,6262.5
01/02/2022,SLBA,2962.2
01/02/2022,TTLS,2322.1
02/02/2022,CIEI,2487.2
02/02/2022,ORAC,4067.3
02/02/2022,SCCS,5383.5
02/02/2022,SDCI,6276.1
02/02/2022,SLBA,2910.8
02/02/2022,TTLS,2334.1
03/02/2022,CIEI,2554.2
03/02/2022,ORAC,4068.7
03/02/2022,SCCS,5256.9
03/02/2022,SDCI,6157.5
03/02/2022,SLBA,2894.3
03/02/2022,TTLS,2351.2
04/02/2022,CIEI,2545.2
04/02/2022,ORAC,4091.9
04/02/2022,SCCS,5121.4
04/02/2022,SDCI,6168.0
04/02/2022,SLBA,2864.5
04/02/2022,TTLS,2333.5
07/02/2022,CIEI,2478.6
07/02/2022,ORAC,4142.7
07/02/2022,SCCS,5061.0
07/02/2022,SDCI,6227.5
07/02/2022,SLBA,2895.1
07/02/2022,TTLS,2333.3
08/02/2022,CIEI,2508.1
08/02/2022,ORAC,4221.0
08/02/2022,SCCS,5017.2
08/02/2022,SDCI,6178.3
08/02/2022,SLBA,2903.8
08/02/2022,TTLS,2275.0
09/02/2022,CIEI,2535.9
09/02/2022,ORAC,4240.8
09/02/2022,SCCS,4965.0
09/02/2022,SDCI,6164.1
09/02/2022,SLBA,2937.6
09/02/2022,TTLS,2232.7
10/02/2022,CIEI,2609.9
10/02/2022,ORAC,4125.0
10/02/2022,SCCS,4924.9
10/02/2022,SDCI,6000.8
10/02/2022,SLBA,2935.5
10/02/2022,TTLS,2225.2
11/02/2022,CIEI,2616.5
11/02/2022,ORAC,4176.8
11/02/2022,SCCS,4963.0
11/02/2022,SDCI,6044.1
11/02/2022,SLBA,2862.9
11/02/2022,TTLS,2245.9
14/02/2022,CIEI,2693.9
14/02/2022,ORAC,4087.5
14/02/2022,SCCS,4999.4
14/02/2022,SDCI,6004.3
14/02/2022,SLBA,2879.9
14/02/2022,TTLS,2218.8
15/02/2022,CIEI,2663.4
15/02/2022,ORAC,4081.8
15/02/2022,SCCS,5006.1
15/02/2022,SDCI,6056.9
15/02/2022,SLBA,2888.6
15/02/2022,TTLS,2165.9
16/02/2022,CIEI,2699.0
16/02/2022,ORAC,3991.0
16/02/2022,SCCS,5019.8
16/02/2022,SDCI,6159.4
16/02/2022,SLBA,2907.9
16/02/2022,TTLS,2206.7
17/02/2022,CIEI,2703.6
17/02/2022,ORAC,3996.4
17/02/2022,SCCS,4979.7
17/02/2022,SDCI,6150.9
17/02/2022,SLBA,2858.9
17/02/2022,TTLS,2176.9
18/02/2022,CIEI,2653.6
18/02/2022,ORAC,3952.0
18/02/2022,SCCS,4922.5
18/02/2022,SDCI,6226.9
18/02/2022,SLBA,2862.2
18/02/2022,TTLS,2112.7
21/02/2022,CIEI,2641.5
21/02/2022,ORAC,3970.8
21/02/2022,SCCS,4840.1
21/02/2022,SDCI,6249.1
21/02/2022,SLBA,2836.8
21/02/2022,TTLS,2079.0
22/02/2022,CIEI,2693.9
22/02/2022,ORAC,4185.8
22/02/2022,SCCS,4817.6
22/02/2022,SDCI,6237.3
22/02/2022,SLBA,2811.7
22/02/2022,TTLS,2037.7
23/02/2022,CIEI,2738.7
23/02/2022,ORAC,4188.1
23/02/2022,SCCS,4753.7
23/02/2022,SDCI,6219.7
23/02/2022,SLBA,2824.8
23/02/2022,TTLS,1952.0
24/02/2022,CIEI,2722.0
24/02/2022,ORAC,4250.2
24/02/2022,SCCS,4736.8
24/02/2022,SDCI,6159.6
24/02/2022,SLBA,2838.0
24/02/2022,TTLS,1941.4
25/02/2022,CIEI,2766.9
25/02/2022,ORAC,4165.9
25/02/2022,SCCS,4779.8
25/02/2022,SDCI,6257.9
25/02/2022,SLBA,2805.3
25/02/2022,TTLS,2003.5
28/02/2022,CIEI,2803.9
28/02/2022,ORAC,4152.2
28/02/2022,SCCS,4813.0
28/02/2022,SDCI,6327.5
28/02/2022,SLBA,2743.1
28/02/2022,TTLS,1979.7
01/03/2022,CIEI,2841.1
01/03/2022,ORAC,4201.8
01/03/2022,SCCS,4891.5
01/03/2022,SDCI,6254.6
01/03/2022,SLBA,2655.1
01/03/2022,TTLS,1953.5
02/03/2022,CIEI,2852.5
02/03/2022,ORAC,4201.2
02/03/2022,SCCS,4838.4
02/03/2022,SDCI,6321.3
02/03/2022,SLBA,2635.4
02/03/2022,TTLS,1996.8
03/03/2022,CIEI,2864.7
03/03/2022,ORAC,4231.7
03/03/2022,SCCS,4712.2
03/03/2022,SDCI,6269.5
03/03/2022,SLBA,2674.1
03/03/2022,TTLS,2003.0
04/03/2022,CIEI,2827.7
04/03/2022,ORAC,4244.3
04/03/2022,SCCS,4650.9
04/03/2022,SDCI,6159.7
04/03/2022,SLBA,2672.4
04/03/2022,TTLS,2002.4
07/03/2022,CIEI,2823.9
07/03/2022,ORAC,4181.7
07/03/2022,SCCS,4764.0
07/03/2022,SDCI,6251.8
07/03/2022,SLBA,2594.4
07/03/2022,TTLS,2054.6
08/03/2022,CIEI,2828.2
08/03/2022,ORAC,4225.0
08/03/2022,SCCS,4805.7
08/03/2022,SDCI,6159.2
08/03/2022,SLBA,2565.5
08/03/2022,TTLS,2014.1
09/03/2022,CIEI,2795.5
09/03/2022,ORAC,4175.7
09/03/2022,SCCS,4781.9
09/03/2022,SDCI,6250.2
09/03/2022,SLBA,2579.7
09/03/2022,TTLS,2015.0
10/03/2022,CIEI,2782.3
10/03/2022,ORAC,4306.4
10/03/2022,SCCS,4859.6
10/03/2022,SDCI,6268.6
10/03/2022,SLBA,2636.0
10/03/2022,TTLS,2036.5
11/03/2022,CIEI,2788.3
11/03/2022,ORAC,4277.3
11/03/2022,SCCS,4837.0
11/03/2022,SDCI,6340.0
11/03/2022,SLBA,2676.3
11/03/2022,TTLS,2047.0
14/03/2022,CIEI,2796.4
14/03/2022,ORAC,4330.0
14/03/2022,SCCS,4935.8
14/03/2022,SDCI,6382.4
14/03/2022,SLBA,2689.2
14/03/2022,TTLS,2007.0
15/03/2022,CIEI,2840.3
15/03/2022,ORAC,4335.9
15/03/2022,SCCS,4913.5
15/03/2022,SDCI,6474.4
15/03/2022,SLBA,2696.3
15/03/2022,TTLS,1976.4
16/03/2022,CIEI,2795.0
16/03/2022,ORAC,4407.8
16/03/2022,SCCS,4891.2
16/03/2022,SDCI,6505.0
16/03/2022,SLBA,2659.4
16/03/2022,TTLS,2042.8
17/03/2022,CIEI,2777.2
17/03/2022,ORAC,4371.2
17/03/2022,SCCS,4933.8
17/03/2022,SDCI,6553.8
17/03/2022,SLBA,2644.0
17/03/2022,TTLS,2042.5
18/03/2022,CIEI,2787.6
18/03/2022,ORAC,4446.9
18/03/2022,SCCS,4867.5
18/03/2022,SDCI,6577.0
18/03/2022,SLBA,2632.8
18/03/2022,TTLS,2036.0
21/03/2022,CIEI,2770.6
21/03/2022,ORAC,4444.0
21/03/2022,SCCS,4859.5
21/03/2022,SDCI,6667.0
21/03/2022,SLBA,2606.5
21/03/2022,TTLS,2078.7
22/03/2022,CIEI,2783.7
22/03/2022,ORAC,4539.8
22/03/2022,SCCS,4974.3
22/03/2022,SDCI,6639.4
22/03/2022,SLBA,2608.8
22/03/2022,TTLS,2014.8
23/03/2022,CIEI,2762.9
23/03/2022,ORAC,4591.2
23/03/2022,SCCS,5002.0
23/03/2022,SDCI,6724.0
23/03/2022,SLBA,2595.7
23/03/2022,TTLS,2015.9
24/03/2022,CIEI,2811.4
24/03/2022,ORAC,4607.7
24/03/2022,SCCS,4937.3
